SubjID;WordType;Genus;Sigstark;En;E;Er;S;Z
39;NoRhyme;Masc;3,45000000000000;0;12;0;0;0
39;NoRhyme;Neut;3,68000000000000;1;9;0;0;0
39;Rhyme;Fem;4,02500000000000;3;9;0;0;0
39;Rhyme;Masc;4,02500000000000;3;9;0;0;0
39;Rhyme;Neut;4,01083333333333;3;8;1;0;0
40;NoRhyme;Fem;5,54416666666667;11;1;0;0;0
40;NoRhyme;Masc;2,70333333333333;0;4;0;8;0
40;NoRhyme;Neut;2,51666666666667;0;2;0;10;0
40;Rhyme;Fem;5,75000000000000;12;0;0;0;0
40;Rhyme;Masc;2,94083333333333;0;7;0;5;0
40;Rhyme;Neut;2,70333333333333;0;4;0;8;0
41;NoRhyme;Fem;3,29857142857143;0;6;1;0;0
41;NoRhyme;Masc;2,66285714285714;0;1;6;0;0
41;NoRhyme;Neut;3,40375000000000;1;4;3;0;0
41;Rhyme;Fem;3,46833333333333;1;9;2;0;0
41;Rhyme;Masc;3,07333333333333;1;5;6;0;0
41;Rhyme;Neut;3,13800000000000;0;6;4;0;0
42;NoRhyme;Fem;4,76333333333333;7;5;0;0;0
42;NoRhyme;Masc;3,40750000000000;0;12;0;0;0
42;NoRhyme;Neut;3,34583333333333;2;4;6;0;0
42;Rhyme;Fem;4,98666666666667;9;2;1;0;0
42;Rhyme;Masc;3,39333333333333;0;11;1;0;0
42;Rhyme;Neut;3,47583333333333;3;2;7;0;0
43;NoRhyme;Fem;3,68333333333333;4;4;0;4;0
43;NoRhyme;Masc;3,55333333333333;2;7;0;3;0
43;NoRhyme;Neut;2,51666666666667;0;2;0;10;0
43;Rhyme;Fem;3,63583333333333;3;7;0;2;0
43;Rhyme;Masc;3,79083333333333;2;10;0;0;0
43;Rhyme;Neut;2,89333333333333;1;4;0;6;1
44;NoRhyme;Fem;4,02500000000000;3;9;0;0;0
44;NoRhyme;Masc;3,59666666666667;2;7;3;0;0
44;NoRhyme;Neut;4,60000000000000;6;6;0;0;0
44;Rhyme;Fem;3,91583333333333;3;7;2;0;0
44;Rhyme;Masc;3,72666666666667;4;1;7;0;0
44;Rhyme;Neut;4,04750000000000;4;6;2;0;0
45;NoRhyme;Fem;3,00833333333333;1;4;6;0;1
45;NoRhyme;Masc;2,68250000000000;0;8;0;0;4
45;NoRhyme;Neut;1,87250000000000;1;1;1;0;9
45;Rhyme;Fem;3,62083333333333;2;9;1;0;0
45;Rhyme;Masc;3,27416666666667;0;10;2;0;0
45;Rhyme;Neut;3,25333333333333;2;5;4;0;1
46;NoRhyme;Fem;3,38083333333333;1;8;1;2;0
46;NoRhyme;Masc;4,22166666666667;5;5;0;2;0
46;NoRhyme;Neut;4,32000000000000;6;3;0;3;0
46;Rhyme;Fem;3,61000000000000;3;7;1;0;1
46;Rhyme;Masc;3,77750000000000;4;5;2;0;1
46;Rhyme;Neut;3,64166666666667;4;5;1;0;2
47;NoRhyme;Fem;5,75000000000000;8;0;0;0;0
47;NoRhyme;Masc;5,75000000000000;8;0;0;0;0
47;NoRhyme;Neut;4,76428571428571;4;3;0;0;0
47;Rhyme;Fem;5,75000000000000;11;0;0;0;0
47;Rhyme;Masc;5,45833333333333;12;0;0;0;0
47;Rhyme;Neut;4,67750000000000;8;4;0;0;0
48;NoRhyme;Fem;4,79166666666667;7;5;0;0;0
48;NoRhyme;Masc;5,75000000000000;12;0;0;0;0
48;NoRhyme;Neut;4,79166666666667;7;5;0;0;0
48;Rhyme;Fem;4,07416666666667;5;6;1;0;0
48;Rhyme;Masc;4,68333333333333;11;1;0;0;0
48;Rhyme;Neut;4,37166666666667;8;4;0;0;0
49;NoRhyme;Fem;4,01083333333333;3;9;0;0;0
49;NoRhyme;Masc;4,58583333333333;6;6;0;0;0
49;NoRhyme;Neut;4,79166666666667;7;5;0;0;0
49;Rhyme;Fem;3,32250000000000;0;11;1;0;0
49;Rhyme;Masc;3,60250000000000;2;10;0;0;0
49;Rhyme;Neut;3,50250000000000;3;8;1;0;0
51;NoRhyme;Fem;4,40833333333333;5;7;0;0;0
51;NoRhyme;Masc;3,94166666666667;5;2;0;5;0
51;NoRhyme;Neut;3,83833333333333;3;7;0;2;0
51;Rhyme;Fem;3,74833333333333;2;9;1;0;0
