EmoVal	Freq	WORD	WORD_LOWER	WORD_CLASS	EMO_MEAN	EMO_STD	AROUSAL_MEAN	AROUSAL_STD	IMAGE_MEAN	IMAGE_STD	LETTERS	PHONEMES	SYLLABLES	Ftot/1MIL	N	FN	HFN	FHFN	BIGmean(TOKEN)	ACCENT
POS	HF	ZIERLICH	zierlich	A	0,3	0,8	1,9	1,0	4,6	1,2	8	6	2	12,5	1	458,0	1	458,0	440384,0	1
NEG	HF	ZIGARETTE	zigarette	N	-0,9	1,8	3,2	1,4	6,7	0,7	9	8	4	50,8	0	0,0	0	0,0	111095,0	3
NEG	HF	ZIGARRE	zigarre	N	-0,2	1,3	2,6	1,0	6,7	0,5	7	6	3	15,5	0	0,0	0	0,0	86982,2	2
POS	HF	ZIMMER	zimmer	N	1,1	1,0	1,7	0,8	4,6	1,7	6	5	2	131,8	1	7,8	0	0,0	344793,6	1
NEG	HF	ZINS	zins	N	-0,5	1,0	2,7	1,0	2,7	1,2	4	4	1	29,3	3	81,3	1	34,7	229844,3	1
POS	NF	ZIRKUS	zirkus	N	0,9	1,5	2,9	0,9	6,0	1,1	6	6	2	8,2	1	0,0	0	0,0	45050,2	1
POS	HF	ZITAT	zitat	N	0,6	1,0	2,5	1,1	2,4	1,6	5	5	2	24,7	0	0,0	0	0,0	96877,0	2
POS	NF	ZITRONE	zitrone	N	0,8	0,8	2,8	1,1	6,8	0,4	7	7	3	3,2	0	0,0	0	0,0	113919,0	2
NEG	HF	ZITTERN	zittern	V	-1,5	0,7	3,6	0,9	5,6	1,6	7	6	2	27,8	2	32,0	1	31,0	348205,0	1
NEG	HF	ZÖGERN	zögern	V	-0,9	1,0	2,8	1,1	3,5	1,8	6	6	2	32,0	0	0,0	0	0,0	616705,7	1
NEG	HF	ZOLL	zoll	N	-0,8	0,6	2,4	1,2	4,7	2,1	4	3	1	20,3	5	302,7	1	279,7	67519,0	1
POS	NF	ZOPF	zopf	N	0,8	1,2	2,2	1,0	5,5	1,5	4	3	1	7,0	3	239,8	2	239,7	9873,3	1
NEG	HF	ZORN	zorn	N	-1,8	1,3	4,1	0,9	4,2	1,6	4	4	1	21,8	4	70,2	1	45,3	52442,7	1
NEG	NF	ZORNIG	zornig	A	-1,4	0,8	4,2	1,0	4,4	1,8	6	6	2	9,0	2	8,0	0	0,0	75072,4	1
POS	HF	ZUFALL	zufall	N	0,7	1,2	2,5	1,0	1,8	0,8	6	5	2	33,0	0	0,0	0	0,0	102687,0	1
POS	NF	ZUFLUCHT	zuflucht	N	1,2	0,9	2,8	1,1	3,6	1,6	8	7	2	4,3	0	0,0	0	0,0	166311,7	1
POS	NF	ZUGABE	zugabe	N	1,5	0,7	2,9	1,3	3,9	1,7	6	6	3	2,0	0	0,0	0	0,0	127563,6	1
POS	HF	ZUGEBEN	zugeben	V	0,6	1,3	2,3	1,0	2,9	1,7	7	7	3	23,0	2	110,0	2	76,0	315492,2	1
POS	NF	ZUHAUSE	zuhause	N	2,5	0,7	1,9	1,1	5,3	1,3	7	6	3	2,8	0	0,0	0	0,0	149102,7	2
POS	NF	ZUJUBELN	zujubeln	V	1,6	0,7	3,2	1,0	5,7	1,1	8	8	3	0,7	0	0,0	0	0,0	92910,6	1
POS	HF	ZUKUNFT	zukunft	N	2,2	0,8	3,7	1,2	2,8	1,3	7	7	2	193,3	0	0,0	0	0,0	96249,0	1
POS	HF	ZULASSEN	zulassen	V	0,6	1,3	2,8	1,4	2,0	1,2	8	7	3	44,0	1	0,2	0	0,0	240912,1	1
NEG	HF	ZUNEHMEN	zunehmen	V	-1,2	1,4	3,2	1,4	4,3	1,8	8	7	3	36,5	0	0,0	0	0,0	279535,0	1
POS	HF	ZUNGE	zunge	N	0,9	1,1	2,9	1,4	6,2	1,0	5	4	2	15,8	3	139,5	1	129,7	248398,3	1
POS	NF	ZUSAGE	zusage	N	1,6	0,5	2,6	1,2	1,8	0,7	6	6	3	10,0	2	13,5	1	10,2	124582,4	1
NEG	HF	ZUSTAND	zustand	N	0,0	0,0	2,2	1,0	1,8	1,1	7	7	2	123,7	0	0,0	0	0,0	173547,5	1
POS	HF	ZUSTIMMEN	zustimmen	V	1,0	1,0	2,5	1,0	3,5	1,8	9	8	3	43,5	0	0,0	0	0,0	220971,4	1
POS	HF	ZUSTIMMUNG	zustimmung	N	1,2	0,9	2,5	1,0	3,0	1,9	10	8	3	55,8	0	0,0	0	0,0	133473,9	1
