xpos2,inf0
Ggdn,prepričati
Ggdn,prestaviti
Ggdn,preučiti
Ggnn,preverjati
Ggdn,približati
Ggdn,pridružiti
Ggnn,prijavljati
Ggdn,prilagoditi
Ggdn,pripeljati
Ggnn,pripravljati
Ggdn,prisluhniti
Ggvn,prispevati
Ggdn,pritegniti
Ggnn,prodajati
Ggnn,rahljati
Ggdn,razbremeniti
Ggdn,razčistiti
Ggdn,razkriti
Ggdn,razpisati
Ggdn,razpoznati
Ggdn,razrešiti
Ggvn,razumeti
Ggdn,razviti
Ggvn,reagirati
Sozmt,reči
Ggvn,refundirati
Ggdn,rešiti
Ggnn,shranjevati
Ggdn,sklicati
Ggnn,slediti
Ggvn,slišati
Ggnn,soustvarjati
Ggnn,sovražiti
Ggdn,spiti
Rsn,splacati
Ggvn,splačati
Ggdn,sporočiti
Ggnn,spostovati
Ggvn,spoznati
Ggdn,spraviti
Ggdn,spregovoriti
Ggnn,spremljati
Ggdn,spustiti
Ggnn,stremeti
Ggvn,subvencionirati
Sommo,ščiti
Ggnn,švercati
Sommo,taksisti
Ggnn,teči
Zk-mmi,tisti
Ggnn,trpeti
Ggnn,truditi
Sommi,turisti
Ggdn,ublažiti
Ggdn,udeležiti
Ggnn,umikati
Ggdn,uničiti
Ggdn,uporabiti
Ggdn,upreti
Ggvn,videti
Ggnn,vključevati
Ggdn,vključiti
Sozem,vreči
Ggdn,vzeti
Ggdn,zaceliti
Ggnn,zadostovati
Ggdn,zadovoljiti
Ggnn,zagotavljati
Ggvn,zahtevati
Ggdn,zahvaliti
Ggdn,zamisliti
Ggdn,zapisati
Ggdn,zaslužiti
Ggvn,zaupati
Ggnn,zavirati
Ggdn,zavrteti
Ggnn,združevati
Ggdn,zmanjšati
Ggdn,znebiti
Ggdn,znižati
Ggdn,zoperstaviti
Ggdn,zrasti
Ggnn,želeti
Ggnn,živeti
Gp-n,biti
Ggdn,dati
Ggdn,povedati
Ggnn,bati
Ggnn,iskati
Ggdn,najti
Ggdn,narediti
Ggnn,plačevati
Ggdn,pokazati
Ggdn,priznati
Ggnn,spoštovati
Ggdn,zaščititi
Ggvn,cepiti
Ggnn,imeti
Ggdn,izbrati
Ggnn,obravnavati
Sozmt,reči
Ggdn,spremeniti
Ggnn,braniti
Ggnn,dodajati
Ggdn,dvigniti
Ggnn,govoriti
Ggnn,jemati
Ggvn,kriminalizirati
Ggnn,lagati
Ggnn,lepiti
Ggdn,obsoditi
Ggdn,okrepiti
Ggdn,omejiti
Ggdn,opredeliti
Ggdn,ostati
Ggvn,pomagati
Ggdn,popraviti
Ggdn,postaviti
Ggdn,prebrati
Ggdn,pregledati
Ggdn,preiskati
Ggdn,razgraditi
Ggvn,razumeti
Ggnn,spraševati
Pdnmmi,sprejeti
Ggvn,upoštevati
Ggnn,usmerjati
Ggdn,vzeti
Ggdn,zagotoviti
Ggdn,zapustiti
Ggnn,znati
Ggnn,boriti
Ggnn,brati
Ppnmetd,bti
Ggnn,ceniti
Ggnn,čakati
Ggnn,delovati
Ggdn,dobiti
Ggdn,dodati
Ggnn,dokazovati
Ggdn,dopisati
Ggnn,držati
Ggvn,glasovati
Ggnn,graditi
Ggvn,iti
Ggdn,izbojevati
Ggdn,izogniti
Ggdn,izpolniti
Ggnn,izpolnjevati
Ggdn,iztrebiti
Ggdn,kupiti
Ggvn,likvidirati
Ggvn,ločiti
Ggdn,lotiti
Ggnn,misliti
Ggnn,molčati
Ggnn,nadzorovati
L,niti
Ggnn,nižati
Ggnn,norčevati
Ggnn,obveščati
Ggvn,obvladati
Ggdn,odločiti
Ggdn,odpraviti
Ggdn,odvaditi
Ggdn,odvzeti
Ggdn,ohraniti
Ggnn,pisati
Ggdn,plačati
Ggnn,podrejati
Ggdn,pogledati
Ggdn,pojasniti
Ggdn,pomesti
Ggdn,pomiriti
Sozer,pomoči
Ggnn,ponavljati
Ggdn,ponoviti
Ggdn,poskrbeti
Ggnn,poslušati
Ggdn,pospešiti
Ggdn,postoriti
Ggvn,potrpeti
Ggdn,poudariti
Ggnn,povezovati
Ggnn,poznati
Ggnn,požigati
Ggvn,prečkati
Ggdn,predstaviti
Ggnn,preganjati
Ggdn,premagati
Ggdn,prepovedati
Ggdn,preprečiti
Ggdn,prepričati
Ggdn,preslikati
