FED;FEDfull;Ambiguity.D;Length.L;Length.W;Emovalsq;Emoval;Arousal;Familiarity;Sem.transp;Figurative;Concrete;Ambig;Confidence
DsistdckB;Das ist doch kein Beinbruch;1;23;5;2,253521127;0,61971831;3,563380282;3,985915493;3,647887324;4,85915493;3,985915493;0,61971831;5,549295775
DsistenbK;Das ist eine brotlose Kunst;0;23;5;2,420289855;-0,507246377;3,565217391;3,130434783;3,869565217;5,086956522;3,52173913;0,130434783;4,913043478
dsisteSiW;das ist ein Schlag ins Wasser;1;24;6;3,772727273;-1,045454545;3,909090909;4,181818182;3,575757576;4,212121212;3,560606061;0,53030303;4,96969697
DsistknKn;Das ist keine Kunst;1;16;4;1,929577465;-0,098591549;3,676056338;4,422535211;4,605633803;3,985915493;4,028169014;0,549295775;4,957746479
dsistknPw;das ist keinen Pfifferling wert;1;27;5;3,791666667;-1,347222222;3,375;3,916666667;4,930555556;3,888888889;3,527777778;0,430555556;4,861111111
Dsklngsfj;Das klingt spanisch für jemanden;1;28;5;2,771428571;-0,285714286;3,371428571;4,571428571;3,842857143;4,714285714;3,914285714;0,628571429;4,9
dsKndbmNn;das Kind beim Namen nennen;1;22;5;2,307692308;0,830769231;3,292307692;3,492307692;3,830769231;4,384615385;4,369230769;0,661538462;4,830769231
dSlbmlnls;die Seele baumeln lassen;0;21;4;5,986111111;1,708333333;4,097222222;3,583333333;3,236111111;5,833333333;3,069444444;0,125;4,638888889
dsLchtdWe;das Licht der Welt erblicken;1;24;5;4,471428571;1,557142857;4,085714286;5,028571429;4,142857143;3,985714286;4,614285714;0,371428571;5,471428571
dsPfrdvha;das Pferd von hinten aufzäumen;1;26;5;3,830985915;-0,816901408;3,352112676;2,915492958;3,281690141;4,76056338;3,830985915;0,61971831;4,577464789
dSppaslfk;die Suppe auslöffeln können;1;24;4;3,485294118;1,014705882;3,441176471;4,205882353;4,102941176;4,897058824;3,897058824;0,573529412;5,088235294
dSprchwdr;die Sprache wiederfinden;0;22;3;3,333333333;0,898550725;2,942028986;3,768115942;4,130434783;3,985507246;3,434782609;0,391304348;4,289855072
dsRddrZtz;das Rad der Zeit zurückdrehen;0;25;5;1,529411765;0,323529412;2,823529412;4,25;4,014705882;4,735294118;3,720588235;0,073529412;5,147058824
dsRdnchne;das Rad nicht neu erfinden;1;22;5;2,47826087;-0,014492754;3,217391304;3,594202899;3,68115942;3,985507246;4,014492754;0,420289855;5,376811594
dsRtslsLs;des Rätsels Lösung suchen;1;22;4;1,943661972;0,647887324;2,887323944;3,732394366;4,056338028;3,957746479;3,929577465;0,690140845;4,169014085
