03A030102020300	Pdnzdd	Appfdd
03A030102020400	Pdnzdt	Appfda
03A030102020500	Pdnzdm	Appfdl
03A030102020600	Pdnzdo	Appfdi
03A030102030100	Pdnzmi	Appfpn
03A030102030200	Pdnzmr	Appfpg
03A030102030300	Pdnzmd	Appfpd
03A030102030400	Pdnzmt	Appfpa
03A030102030500	Pdnzmm	Appfpl
03A030102030600	Pdnzmo	Appfpi
03A030103010100	Pdnsei	Appnsn
03A030103010200	Pdnser	Appnsg
03A030103010300	Pdnsed	Appnsd
03A030103010400	Pdnset	Appnsa
03A030103010500	Pdnsem	Appnsl
03A030103010600	Pdnseo	Appnsi
03A030103020100	Pdnsdi	Appndn
03A030103020200	Pdnsdr	Appndg
03A030103020300	Pdnsdd	Appndd
03A030103020400	Pdnsdt	Appnda
03A030103020500	Pdnsdm	Appndl
03A030103020600	Pdnsdo	Appndi
03A030103030100	Pdnsmi	Appnpn
03A030103030200	Pdnsmr	Appnpg
03A030103030300	Pdnsmd	Appnpd
03A030103030400	Pdnsmt	Appnpa
03A030103030500	Pdnsmm	Appnpl
03A030103030600	Pdnsmo	Appnpi
04R0101	Rsn	Rgp
04R0102	Rsr	Rgc
04R0103	Rss	Rgs
04R0200	Rd	Rr
05P0101000101000000	Zop-ei	Pp1-sn
05P0101000102000000	Zop-er	Pp1-sg
05P0101000102000001	Zop-er--k	Pp1-sg--y
05P0101000103000000	Zop-ed	Pp1-sd
05P0101000103000001	Zop-ed--k	Pp1-sd--y
05P0101000104000000	Zop-et	Pp1-sa
05P0101000104000001	Zop-et--k	Pp1-sa--y
05P0101000104000002	Zop-et--z	Pp1-sa--b
05P0101000105000000	Zop-em	Pp1-sl
05P0101000106000000	Zop-eo	Pp1-si
05P0101000202000000	Zop-dr	Pp1-dg
05P0101000203000000	Zop-dd	Pp1-dd
05P0101000204000000	Zop-dt	Pp1-da
05P0101000205000000	Zop-dm	Pp1-dl
05P0101000206000000	Zop-do	Pp1-di
05P0101000302000000	Zop-mr	Pp1-pg
05P0101000303000000	Zop-md	Pp1-pd
05P0101000304000000	Zop-mt	Pp1-pa
05P0101000305000000	Zop-mm	Pp1-pl
05P0101000306000000	Zop-mo	Pp1-pi
05P0101010201000000	Zopmdi	Pp1mdn
05P0101010301000000	Zopmmi	Pp1mpn
05P0101020201000000	Zopzdi	Pp1fdn
05P0101020301000000	Zopzmi	Pp1fpn
05P0101030201000000	Zopsdi	Pp1ndn
05P0101030301000000	Zopsmi	Pp1npn
05P0102000101000000	Zod-ei	Pp2-sn
05P0102000102000000	Zod-er	Pp2-sg
05P0102000102000001	Zod-er--k	Pp2-sg--y
05P0102000103000000	Zod-ed	Pp2-sd
05P0102000103000001	Zod-ed--k	Pp2-sd--y
05P0102000104000000	Zod-et	Pp2-sa
05P0102000104000001	Zod-et--k	Pp2-sa--y
05P0102000104000002	Zod-et--z	Pp2-sa--b
05P0102000105000000	Zod-em	Pp2-sl
05P0102000106000000	Zod-eo	Pp2-si
05P0102000202000000	Zod-dr	Pp2-dg
05P0102000203000000	Zod-dd	Pp2-dd
05P0102000204000000	Zod-dt	Pp2-da
05P0102000205000000	Zod-dm	Pp2-dl
05P0102000206000000	Zod-do	Pp2-di
05P0102000302000000	Zod-mr	Pp2-pg
05P0102000303000000	Zod-md	Pp2-pd
05P0102000304000000	Zod-mt	Pp2-pa
05P0102000305000000	Zod-mm	Pp2-pl
05P0102000306000000	Zod-mo	Pp2-pi
05P0102010201000000	Zodmdi	Pp2mdn
05P0102010301000000	Zodmmi	Pp2mpn
05P0102020201000000	Zodzdi	Pp2fdn
05P0102020301000000	Zodzmi	Pp2fpn
05P0102030201000000	Zodsdi	Pp2ndn
05P0102030301000000	Zodsmi	Pp2npn
05P0103010101000000	Zotmei	Pp3msn
05P0103010102000000	Zotmer	Pp3msg
05P0103010102000001	Zotmer--k	Pp3msg--y
05P0103010103000000	Zotmed	Pp3msd
05P0103010103000001	Zotmed--k	Pp3msd--y
05P0103010104000000	Zotmet	Pp3msa
05P0103010104000001	Zotmet--k	Pp3msa--y
05P0103010104000002	Zotmet--z	Pp3msa--b
05P0103010105000000	Zotmem	Pp3msl
05P0103010106000000	Zotmeo	Pp3msi
05P0103010201000000	Zotmdi	Pp3mdn
05P0103010202000000	Zotmdr	Pp3mdg
05P0103010202000001	Zotmdr--k	Pp3mdg--y
05P0103010203000000	Zotmdd	Pp3mdd
05P0103010203000001	Zotmdd--k	Pp3mdd--y
05P0103010204000000	Zotmdt	Pp3mda
05P0103010204000001	Zotmdt--k	Pp3mda--y
05P0103010204000002	Zotmdt--z	Pp3mda--b
05P0103010205000000	Zotmdm	Pp3mdl
05P0103010206000000	Zotmdo	Pp3mdi
05P0103010301000000	Zotmmi	Pp3mpn
05P0103010302000000	Zotmmr	Pp3mpg
05P0103010302000001	Zotmmr--k	Pp3mpg--y
05P0103010303000000	Zotmmd	Pp3mpd
05P0103010303000001	Zotmmd--k	Pp3mpd--y
05P0103010304000000	Zotmmt	Pp3mpa
05P0103010304000001	Zotmmt--k	Pp3mpa--y
05P0103010304000002	Zotmmt--z	Pp3mpa--b
05P0103010305000000	Zotmmm	Pp3mpl
05P0103010306000000	Zotmmo	Pp3mpi
05P0103020101000000	Zotzei	Pp3fsn
05P0103020102000000	Zotzer	Pp3fsg
05P0103020102000001	Zotzer--k	Pp3fsg--y
05P0103020103000000	Zotzed	Pp3fsd
05P0103020103000001	Zotzed--k	Pp3fsd--y
05P0103020104000000	Zotzet	Pp3fsa
05P0103020104000001	Zotzet--k	Pp3fsa--y
05P0103020104000002	Zotzet--z	Pp3fsa--b
05P0103020105000000	Zotzem	Pp3fsl
05P0103020106000000	Zotzeo	Pp3fsi
05P0103020201000000	Zotzdi	Pp3fdn
05P0103020202000000	Zotzdr	Pp3fdg
05P0103020202000001	Zotzdr--k	Pp3fdg--y
